aba	阿坝
mohuanxianshizhuyi	魔幻现实主义
mohuyin	模糊音
mojia	墨家
mojiao	魔教
mojie	摩羯
mojie	魔戒
mojie	魔界
mojiezuo	摩羯座
mojing	魔镜
moju	磨具
mokao	模考
moke	默克
moliai	莫里哀
molian	磨炼
monai	莫奈
monang	墨囊
monikao	模拟考
moniti	模拟题
mopian	膜片
moping	磨平
moqilai	摸起来
moqiuli	墨丘利
morenzhi	默认值
mosade	摩萨德
mosha	抹煞
moshangsang	陌上桑
moshen	魔神
moshenghua	陌生化
moshou	魔兽
moshuibi	墨水笔
moshuiping	墨水瓶
mosikedaxue	莫斯科大学
mosuo	摩梭
mosuoren	摩梭人
motou	摸透
mousi	谋私
mowei	末位
moxi	摩西
moya	摩崖
moyan	莫言
moyu	魔芋
mozhang	魔障
mozhate	莫扎特
mozhi	磨制
mozi	墨子
mozi	抹子
mozu	魔族
muban	母版
muben	木本
mubiaojia	目标价
mubing	募兵
mubingzhi	募兵制
muchan	亩产
muchun	暮春
mudanjiang	牡丹江
mudi	穆迪
mudiban	木地板
mudixing	目的性
mugonghuo	木工活
mujian	母舰
mujiang	木浆
mujiegou	木结构
mujinhua	木槿花
mujuanxiang	募捐箱
mulao	仫佬
mulaozu	仫佬族
muma	母马
muniu	母牛
mupai	木牌
muqiao	木桥
muqinjie	母亲节
murongfu	慕容复
mushi	墓室
mushihua	模式化
mushitagefeng	慕士塔格峰
mushu	木梳
mutianyuchangcheng	慕田峪长城
mutiao	木条
mutouren	木头人
muweier	木卫二
muweisan	木卫三
muweisi	木卫四
muwu	木屋
muxiang	木箱
muxing	木星
muxing	母性
muxurou	木须肉
muyang	母羊
muyangnv	牧羊女
muyuye	沐浴液
muzhu	母猪
muzilia	母子俩
muzipang	木字旁
naban	那般
nadaer	纳达尔
nadamu	那达慕
nadu	拿督
naer	那儿
naideng	氖灯
naigai	奶盖
naigao	奶糕
naiguo	奶锅
naihan	耐旱
naiheqiao	奈何桥
naike	耐克
nailiang	奈良
naimoxing	耐磨性
naipi	奶皮
naipizi	奶皮子
nairexing	耐热性
naishanyang	奶山羊
naitang	奶糖
naixiang	奶香
naiya	奶牙
naiya	耐压
naiyao	耐药
naiye	奶业
naiyouse	奶油色
naizang	耐脏
naizhiyu	乃至于
nalizi	钠离子
namiguan	纳米管
namucuo	纳木措
namucuo	纳木错
nanaodaliya	南澳大利亚
nanban	男伴
nanban	难办
nancesuo	男厕所
nanchao	南朝
nanchong	南充
nandaketazhou	南达科他州
nanfangren	南方人
nanfeigongheguo	南非共和国
nanfeng	南风
nanguabing	南瓜饼
nanguazi	南瓜子
nanguo	南国
nanhai	南海
nanhaier	男孩儿
nanhan	南韩
nanhushi	男护士
naniya	纳尼亚
nanjiao	南郊
nanjingbowuyuan	南京博物院
nanjingchangjiangdaqiao	南京长江大桥
nanjingdatusha	南京大屠杀
nanjingnongyedaxue	南京农业大学
nanjingshifandaxue	南京师范大学
nanjingyikedaxue	南京医科大学
nanjingyishuxueyuan	南京艺术学院
nanjiquan	南极圈
nankai	南开
nankaluolaina	南卡罗来纳
nankaluolainazhou	南卡罗来纳州
nanke	男科
nanlianmeng	南联盟
nanling	南岭
nanmei	南美
nanminchao	难民潮
nanmingxing	男明星
nannai	难耐
nanniwan	南泥湾
nanpeijiao	男配角
nanping	难评
nanpu	男仆
nanqi	南齐
nanqishu	南齐书
nanquan	男权
nanrenwei	男人味
nanrong	难溶
nanse	难色
nansha	南沙
nanshaolin	南少林
nansheng	男声
nanshi	男式
nantianmen	南天门
nantong	南通
nantongxue	男同学
nanxiangzi	南乡子
nanxun	南巡
nanya	南亚
nanyacidalu	南亚次大陆
nanyang	南阳
nanyangshan	南洋杉
nanyihao	男一号
nanyushangqingtian	难于上青天
nanzhu	楠竹
nanzhu	男主
nanzhujue	男主角
nanzhuren	男主人
naobaijin	脑白金
naobing	闹病
naobu	脑部
naodaigua	脑袋瓜
naodianbo	脑电波
naodong	脑洞
naofang	闹房
naogengsai	脑梗塞
naoguazi	脑瓜子
naoke	脑科
naokexue	脑科学
naolilaodongzhe	脑力劳动者
naolu	瑙鲁
naoren	脑仁
naoxueguan	脑血管
naoxueshuan	脑血栓
naoyang	挠痒
naoyijian	闹意见
naozhewan	闹着玩
naozuzhong	脑卒中
nasaier	纳赛尔
nashouxi	拿手戏
naxi	纳西
naxizu	纳西族
nayan	钠盐
nazhaerbayefu	纳扎尔巴耶夫
nazhi	纳指
neibi	内壁
neibulasijia	内布拉斯加
neibulasijiazhou	内布拉斯加州
neicunka	内存卡
neicuntiao	内存条
neida	内搭
neigezhi	内阁制
neiguge	内骨骼
neihangren	内行人
neihanzi	内含子
neihuan	内环
neijiangshi	内江市
neijing	内景
neijing	内镜
neiju	内聚
neili	内力
neiliansheng	内联升
neiliujiao	内六角
neimenggu	内蒙古
neimenggudaxue	内蒙古大学
neimenggugaoyuan	内蒙古高原
neiqiang	内墙
neiqieyuan	内切圆
neiquan	内圈
neiquli	内驱力
neishen	内审
neishuang	内双
neitaniyahu	内塔尼亚胡
neixian	内陷
neixiangxing	内向型
neiye	内页
neiyin	内因
neiyingli	内应力
neiyou	内忧
neiyuan	内援
neiyuanxing	内源性
neizaihua	内在化
neizaixing	内在性
neizhai	内债
neizhengbu	内政部
neizi	内资
neizu	内阻
nenfu	嫩肤
nengliangbang	能量棒
nenhua	嫩滑
nenmo	嫩模
nenshengsheng	嫩生生
nenzhi	嫩枝
nezha	哪吒
nianba	廿八
nianbaba	蔫巴巴
nianbuji	蔫不唧
nianchangzhe	年长者
nianchanliang	年产量
nianchou	黏稠
nianchuyi	年初一
nianer	廿二
niangengyao	年羹尧
niangermen	娘儿们
niangjiaren	娘家人
niangjiuchang	酿酒厂
niangzaojiu	酿造酒
niangzijun	娘子军
nianheji	粘合剂
nianjie	粘结
nianjing	年景
nianjizu	年级组
nianjun	捻军
nianmi	碾米
nianpiao	年票
niantu	粘土
nianxiujia	年休假
nianya	碾轧
nianye	粘液
nianyu	鲇鱼
nianyu	鲶鱼
nianzhujun	念珠菌
niaochanggui	尿常规
niaodanbai	尿蛋白
niaodaoyan	尿道炎
niaoer	鸟儿
niaohu	尿壶
niaolu	尿路
niaopin	尿频
niaoren	鸟人
niaosuan	尿酸
niaoyu	鸟语
nibi	溺毙
nibianhuan	逆变换
niebahan	捏把汗
niechi	啮齿
nieer	聂耳
niehaihua	孽海花
niehaisheng	聂海胜
nielian	捏脸
nieluda	聂鲁达
niezhai	孽债
niguan	尼姑庵
nihe	拟核
nihelu	尼赫鲁
nihu	腻乎
nilia	你俩
nilongsheng	尼龙绳
nimao	呢帽
nimingti	逆命题
nimingxin	匿名信
ningbohua	宁波话
ningchen	佞臣
ningde	宁德
ningdeshi	宁德市
ningduan	拧断
ninghua	凝华
ningjiehe	凝结核
ningjin	拧紧
ningkexinqiyou	宁可信其有
ningmenghuang	柠檬黄
ningmengjing	柠檬精
ningmengshu	柠檬树
ningmi	宁谧
ningru	凝乳
ningsi	凝思
ningxia	宁夏
nipenji	泥盆纪
nipusaguojiang	泥菩萨过江
nirenzhang	泥人张
nirong	呢绒
nisang	尼桑
nisihu	尼斯湖
nitan	泥滩
nitang	泥塘
niuba	牛扒
niubangzi	牛蒡子
niuche	牛车
niuchuru	牛初乳
niuehu	牛轭湖
niufen	牛粪
niugan	牛肝
niuguolai	扭过来
niuhuangsuan	牛磺酸
niujiaojian	牛角尖
niujin	牛津
niujin	牛筋
niujinbu	牛津布
niulangxing	牛郎星
niulanshan	牛栏山
niumaoyu	牛毛雨
niupitang	牛皮糖
niuroutang	牛肉汤
niutoubuduimazui	牛头不对马嘴
niutougeng	牛头梗
niuwan	牛丸
niuwei	牛尾
niuyangge	扭秧歌
niuyatang	牛轧糖
niuyuezhengquanjiaoyisuo	纽约证券交易所
niuza	牛杂
niuzaifu	牛仔服
niweiya	妮维雅
niyajialadapubu	尼亚加拉大瀑布
niyamei	尼亚美
niyiyanwoyiyu	你一言我一语
niyuan	逆元
nizhuanlu	逆转录
nizifen	腻子粉
nongchangzhu	农场主
nongchuang	脓疮
nongfan	弄反
nonggongdang	农工党
nonggongminzhudang	农工民主党
nonghang	农行
nongjiacai	农家菜
nongjiayuan	农家院
nongken	农垦
nonglinmufuyu	农林牧副渔
nonglinmuyuye	农林牧渔业
nongliusuan	浓硫酸
nongmu	农牧
nongmuye	农牧业
nongnuzhi	农奴制
nongquan	弄权
nongshi	农时
nongsuoye	浓缩液
nongtang	弄堂
nongxinshe	农信社
nongxue	脓血
nongxueyuan	农学院
nongyeshui	农业税
nongyin	浓荫
nongyishi	农艺师
nuanfengji	暖风机
nuanhuhu	暖乎乎
nuanhuhu	暖呼呼
nuankongqi	暖空气
nuannuande	暖暖的
nuanqifei	暖气费
nuanqituan	暖气团
nuansediao	暖色调
nuanshuidai	暖水袋
nuanshuihu	暖水壶
nuantong	暖通
nuanwendai	暖温带
nubiya	努比亚
nuhao	怒号
nujian	弩箭
nukualuofa	努库阿洛法
nuobeier	诺贝尔
nuobeierhepingjiang	诺贝尔和平奖
nuobeierhuaxuejiang	诺贝尔化学奖
nuobeierjijinhui	诺贝尔基金会
nuobeierjingjixuejiang	诺贝尔经济学奖
nuobeierwenxuejiang	诺贝尔文学奖
nuobeierwulixuejiang	诺贝尔物理学奖
nuodinghan	诺丁汉
nuodinghandaxue	诺丁汉大学
nuodingshan	诺丁山
nuohua	诺华
nuojiya	诺基亚
nuolan	诺兰
nuomandi	诺曼底
nuomifan	糯米饭
nuomijiu	糯米酒
nuoweiwen	挪威文
nuoya	诺亚
nuoyumi	糯玉米
nuwakexiaote	努瓦克肖特
nuyi	怒意
nuzu	怒族
nvbing	女兵
nvcesuo	女厕所
nvde	女德
nvdiyin	女低音
nvegou	虐狗
nverguo	女儿国
nvetong	虐童
nvewen	虐文
nvguan	女官
nvhaier	女孩儿
nvjiaoshi	女教师
nvkuan	女款
nvlaoban	女老板
nvni	女尼
nvnu	女奴
nvqiu	女囚
nvquanzhuyizhe	女权主义者
nvrenwei	女人味
nvsheng	女声
nvshengjie	女生节
nvshi	女式
nvwa	女娲
nvxia	女侠
nvxie	女鞋
nvyihao	女一号
nvyingxiong	女英雄
nvzhaodai	女招待
nvzhen	女真
nvzhenzu	女真族
nvzhigong	女职工
nvzhongyin	女中音
nvzhu	女主
oubao	欧宝
oufen	藕粉
ougongti	欧共体
ouhua	欧化
ouhuang	欧皇
oujia	藕夹
oujie	藕节
oujinsai	欧锦赛
oulaiya	欧莱雅
oulajiao	欧拉角
oumengweiyuanhui	欧盟委员会
oumijia	欧米茄
oumubiao	欧姆表
oumulong	欧姆龙
oupeike	欧佩克
oushi	欧式
ouxue	呕血
ouya	欧亚
ouyadaluqiao	欧亚大陆桥
ouyangfeng	欧阳锋
ouyangxun	欧阳询
ouyuanqu	欧元区
ouzhougongtongti	欧洲共同体
ouzhouhangtianju	欧洲航天局
ouzhouheziyanjiuzhongxin	欧洲核子研究中心
ouzhoujingjigongtongti	欧洲经济共同体
ouzhoulishihui	欧洲理事会
ouzhouweiyuanhui	欧洲委员会
ouzhouzhongyangyinhang	欧洲中央银行
pachuqu	爬出去
pada	啪嗒
paerma	帕尔马
paibazhang	拍巴掌
paibi	排笔
paibiju	排比句
paichanglong	排长龙
paichili	排斥力
paichufa	排除法
paidianbao	拍电报
paidong	拍动
paifa	派发
paifangliang	排放量
paifeng	排风
paifengshan	排风扇
paiguan	排灌
paigufan	排骨饭
paigumian	排骨面
paigutang	排骨汤
paihan	排汗
paihao	排号
paihua	排华
paiji	牌技
paike	派克
pailuanqi	排卵期
paimaihang	拍卖行
paipin	拍品
paiqianjun	派遣军
paiqifa	排气阀
paiqikou	排气口
paiqiliang	排气量
paishedi	拍摄地
paishenglei	派生类
paishengwu	派生物
paishuibeng	排水泵
paitou	排头
paiwei	排位
paiwufei	排污费
paixi	排戏
paixian	排线
paixie	排协
paiyandao	排烟道
paiyi	排异
paiyou	牌友
paizhonglv	排中律
pajieluo	帕杰罗
pajinsen	帕金森
palading	帕拉丁
palamalibo	帕拉马里博
palao	帕劳
pamier	帕米尔
pamiergaoyuan	帕米尔高原
panan	判案
panci	判词
pancun	盘存
panduanju	判断句
panduanti	判断题
panduola	潘多拉
panfa	盘发
pangniu	胖妞
pangshi	旁氏
pangshou	胖瘦
pangtingxi	旁听席
pangtouyu	胖头鱼
pangu	盘古
pangukaitiandi	盘古开天地
pangzhepu	旁遮普
panjin	盘锦
panjinlian	潘金莲
pankou	盘扣
panmian	盘面
panshanlu	盘山路
pantianshou	潘天寿
panweibo	潘玮柏
panyu	番禺
panyueming	潘粤明
panzheng	盘整
paobudong	跑不动
paobuliao	跑不了
paochu	刨除
paochulai	抛出来
paochuqu	抛出去
paodiao	抛掉
paodong	跑动
paoguan	炮管
paoguangji	抛光机
paoguolai	跑过来
paohuaban	刨花板
paojia	炮架
paokou	炮口
paolou	炮楼
paoshi	抛尸
paotong	炮筒
paotuier	跑腿儿
paowei	跑位
paoyan	炮眼
paozi	刨子
paqilai	爬起来
pasate	帕萨特
pashangqu	爬上去
pasijieernake	帕斯捷尔纳克
pasika	帕斯卡
patenong	帕特农
paxia	趴下
paxiaqu	爬下去
peichangfei	赔偿费
peidao	佩刀
peidian	配电
peidianxiang	配电箱
peigu	配股
peipao	陪跑
peiqi	佩奇
peiqi	配器
peishen	陪审
peishenxi	陪审席
peisongfei	配送费
peitu	配图
peiwei	配位
peixunfei	培训费
peiyinyuan	配音员
peiyongjun	裴勇俊
peiyou	培优
peizangkeng	陪葬坑
peizi	胚子
peiziti	配子体
penchulai	喷出来
pengbei	碰杯
pengboshe	彭博社
penggai	棚改
penghu	澎湖
penglai	蓬莱
penglaige	蓬莱阁
pengliyuan	彭丽媛
pengpengqun	蓬蓬裙
pengshang	碰伤
pengtouhui	碰头会
pengzhanglv	膨胀率
penhui	喷绘
penkou	喷口
penlin	喷淋
pensheqi	喷射器
penshui	喷水
penyoubeng	喷油泵
piandao	偏导
pianerjing	片儿警
pianguo	骗过
pianhun	骗婚
pianmianxing	片面性
piannanfeng	偏南风
pianqu	片区
pianran	翩然
pianse	偏色
pianshui	骗税
piantiwen	骈体文
piantouteng	偏头疼
pianwen	骈文
pianxian	蹁跹
pianxu	偏序
pianyiliang	偏移量
pianyou	偏右
pianyuan	片源
pianzhang	片长
pianzhuang	片状
piaofuwu	漂浮物
piaoguo	飘过
piaohao	票号
piaolianghua	漂亮话
piaomian	票面
piaomiao	缥缈
piaoqi	骠骑
piaorou	飘柔
piaowu	票务
piaoxu	飘絮
pibaogu	皮包骨
pidouhui	批斗会
pierxun	皮尔逊
piezhe	撇折
pifa	披发
pifazi	皮筏子
pijiake	皮夹克
pijianfa	披肩发
pijiazi	皮夹子
pijiuguan	啤酒馆
pijiuwu	啤酒屋
pijiyan	皮肌炎
pikache	皮卡车
pinganye	平安夜
pingdixie	平底鞋
pingdiyishenglei	平地一声雷
pingdong	屏东
pingdong	平动
pingfang	平放
pingfenbiao	评分表
pingfenxian	平分线
pingguangjing	平光镜
pingguocu	苹果醋
pingguolv	苹果绿
pingguoshu	苹果树
pingguosuan	苹果酸
pingguoyuan	苹果园
pinggushi	评估师
pinghengdian	平衡点
pinghenggan	平衡感
pingji	平级
pingju	评剧
pingjunfen	平均分
pingliang	平凉
pinglunjie	评论界
pingpu	平铺
pingtang	平躺
pingwenxing	平稳性
pingxi	屏息
pingxi	评析
pingxiang	萍乡
pingxingguanzhanyi	平型关战役
pingyao	平遥
pingyou	评优
pingzhan	平展
pingzhu	屏住
pingzhuan	评传
pingzhuangshu	平装书
pinjiu	拼酒
pinkunsheng	贫困生
pinkunxian	贫困县
pinkunxian	贫困线
pinmi	频密
pinpaiji	品牌机
pinpei	拼配
pinrenzhi	聘任制
pintuan	拼团
pinxiefa	拼写法
pipaxing	琵琶行
pipilu	皮皮鲁
piroushang	皮肉伤
pishinu	毗湿奴
pitao	皮套
pitiao	批条
pitoushi	披头士
pixiang	皮相
pixie	皮屑
pixue	皮靴
piyajie	皮亚杰
piyanuo	皮亚诺
piying	皮影
pizhi	皮脂
pizhunshu	批准书
pochanfa	破产法
podi	坡地
poguanziposhuai	破罐子破摔
pohuaishen	破坏神
pojipao	迫击炮
polaner	破烂儿
poluo	破落
poluo	笸箩
poluomen	婆罗门
pomo	泼墨
popi	泼皮
posa	泼洒
poshuijie	泼水节
posi	珀斯
posuiji	破碎机
powu	破五
poyang	鄱阳
poyin	破音
pucao	蒲草
puchi	噗哧
puchi	噗嗤
puchi	扑哧
pucong	仆从
pucunxin	濮存昕
pudongfazhanyinhang	浦东发展银行
pudongguojijichang	浦东国际机场
puer	普洱
puercha	普洱茶
puermin	扑尔敏
pugaijuan	铺盖卷
puhao	谱号
puhuo	铺货
pujidao	普吉岛
pujie	扑街
pujinqu	扑进去
pujiu	铺就
pukuai	普快
pulada	普拉达
pulangke	普朗克
pulinsidundaxue	普林斯顿大学
puluokefeiyefu	普罗科菲耶夫
puluomixiusi	普罗米修斯
pulushi	铺路石
pumizu	普米族
puqini	普契尼
pushentu	普什图
pushu	朴树
pusongling	蒲松龄
pususu	扑簌簌
putaotangsuangai	葡萄糖酸钙
putaotangyanghuamei	葡萄糖氧化酶
putaozi	葡萄籽
putian	莆田
putianshi	莆田市
putizi	菩提子
putong	噗通
putongcang	普通舱
putuo	普陀
putuoshan	普陀山
puxi	浦西
puxian	普贤
puyangshi	濮阳市
puyi	溥仪
puyu	璞玉
puyu	葡语
puzhi	朴直
puzhi	朴质
qiadian	掐点
qiafan	恰饭
qianbi	倩碧
qianbiao	浅表
qianbihua	铅笔画
qianbixin	铅笔芯
qianceng	浅层
qiancengbing	千层饼
qianchu	迁出
qianda	欠打
qiandai	前代
qiandan	签单
qiandaochu	签到处
qiandaohu	千岛湖
qiandingningwanzhufu	千叮咛万嘱咐
qiandongnan	黔东南
qianfada	欠发达
qianfen	迁坟
qianfense	浅粉色
qianfenzhi	千分之
qiangban	墙板
qiangbi	呛鼻
qiangbu	墙布
qiangdisong	强的松
qiangduozui	抢夺罪
qiangfeng	墙缝
qianggener	墙根儿
qianggong	抢攻
qianghui	墙绘
qiangjiangshui	强降水
qiangjiangyu	强降雨
qiangjiao	墙脚
qiangjiefan	抢劫犯
qiangjin	强劲
qiangjing	抢镜
qiangjinjiu	将进酒
qiangjiushi	抢救室
qiangke	抢课
qianglou	抢楼
qiangmianqi	墙面漆
qiangnai	呛奶
qiangpi	墙皮
qiangqi	墙漆
qiangqi	抢七
qiangqun	墙裙
qiangsheng	强生
qiangshou	强手
qiangshou	抢收
qiangshui	呛水
qiangtaifeng	强台风
qiangti	墙体
qiangti	腔体
qiangtou	墙头
qiangtou	枪头
qiangunfan	前滚翻
qiangxi	抢戏
qiangxian	抢鲜
qiangya	强压
qiangzhe	强者
qiangzhi	强直
qiangzhixing	强制性
qiangzhonggengyouqiangzhongshou	强中更有强中手
qiangzhuan	墙砖
qiangzu	羌族
qianhan	钎焊
qianhe	嵌合
qianhongxian	牵红线
qianhoujiao	前后脚
qianhuang	浅黄
qianhuise	铅灰色
qianjin	前襟
qianjingse	前景色
qiankuan	钱款
qiankui	前馈
qianlan	浅蓝
qianlanse	浅蓝色
qianliu	潜流
qianliyinyuanyixianqian	千里姻缘一线牵
qianlv	浅绿
qianlvse	浅绿色
qianmianban	前面板
qianmingdang	签名档
qianmo	阡陌
qiannianchong	千年虫
qianniuxing	牵牛星
qianpu	欠曝
qianqin	前秦
qianrushiruanjian	嵌入式软件
qiansanqiang	钱三强
qianshaozhan	前哨站
qiansheng	纤绳
qianshuibeng	潜水泵
qianshuijing	潜水镜
qianshuiwan	浅水湾
qiansui	千岁
qiantan	浅谈
qiantang	钱塘
qiantangchao	钱塘潮
qiantangshi	遣唐使
qianti	前蹄
qiantui	签退
qianwan	前晚
qianwen	前文
qianxin	虔心
qianxinkuang	铅锌矿
qianya	前牙
qianyanbudahouyu	前言不搭后语
qianyi	前移
qianyin	铅印
qianyuan	前缘
qianzaixing	潜在性
qianzhengchu	签证处
qianzhengguan	签证官
qianzhihe	千纸鹤
qianzhongdu	铅中毒
qianzhongshu	钱钟书
qianzhu	签注
qianzi	签子
qianziwen	千字文
qiaobusi	乔布斯
qiaochu	敲除
qiaodong	桥洞
qiaoerkefusiji	齐奥尔科夫斯基
qiaojiao	翘脚
qiaojiner	巧劲儿
qiaolian	侨联
qiaoling	侨领
qiaomaimian	荞麦面
qiaoqiaode	悄悄地
qiaosaisiku	齐奥塞斯库
qiaoshe	翘舌
qiaoxialai	敲下来
qiaoxiaqu	敲下去
qiaoyu	巧遇
qiaozhaleisuozui	敲诈勒索罪
qiaozhi	乔治
qiaqie	恰切
qiatanhui	洽谈会
qiazhu	掐住
qibi	起笔
qibing	起兵
qibing	起病
qibulai	起不来
qibuzou	齐步走
qicha	沏茶
qichang	颀长
qicheng	骑乘
qichepiao	汽车票
qicheye	汽车业
qichongzou	七重奏
qichu	期初
qidaizhi	期待值
qidan	契丹
qidanei	齐达内
qidianzhan	起点站
qidongji	起动机
qidongpan	启动盘
qidongxiang	启动项
qiduan	气短
qiean	窃案
qiechushu	切除术
qieernuobeili	切尔诺贝利
qieerxi	切尔西
qiefen	切分
qiegeji	切割机
qiehua	切花
qieqie	怯怯
qier	弃儿
qierudian	切入点
qiesi	切丝
qiezhen	怯阵
qifa	气阀
qifeng	起风
qifenku	七分裤
qiganggai	气缸盖
qigangtao	气缸套
qige	气割
qigong	启功
qigongshi	气功师
qiguo	齐国
qihanshu	奇函数
qihoudai	气候带
qihua	歧化
qihuare	汽化热
qihuashu	企划书
qihuiqi	启辉器
qijianban	旗舰版
qijiang	漆匠
qijiguang	戚继光
qijing	气井
qijiu	妻舅
qijue	七绝
qikeng	弃坑
qilang	气浪
qilei	棋类
qileng	凄冷
qilimazhaluoshan	乞力马扎罗山
qilu	齐鲁
qimen	气闷
qimenzui	气门嘴
qimi	棋迷
qimian	漆面
qimixing	气密性
qimo	漆膜
qinajiao	耆那教
qinbixin	亲笔信
qindai	秦代
qindian	钦点
qinfang	琴房
qingbaoxue	情报学
qingbaoyuan	情报员
qingbaozhan	情报站
qingchangju	清唱剧
qingchengshan	青城山
qingchong	青虫
qingchu	轻触
qingchuang	清创
qingchunpian	青春片
qingdai	清代
qingdaohaiyangdaxue	青岛海洋大学
qingdongling	清东陵
qingege	亲哥哥
qingfang	轻纺
qingfei	清肺
qinggeju	轻歌剧
qinggong	清宫
qinghaihu	青海湖
qinghao	青蒿
qinghua	氰化
qinghua	清华
qinghuan	轻缓
qinghuaqing	氰化氢
qinghuawu	氢化物
qinghuayu	青花鱼
qinghuayuan	清华园
qinghui	清辉
qinghui	青灰
qinghuo	轻活
qingjiadan	请假单
qingjiao	清缴
qingjieyuan	清洁员
qingjingju	情景剧
qingjinshu	轻金属
qingjun	清军
qingjunce	清君侧
qingkejiu	青稞酒
qingkong	晴空
qinglie	清冽
qinglingling	清凌凌
qingliusuan	氢硫酸
qingluobo	青萝卜
qingmei	青梅
qingmei	青霉
qingmiao	青苗
qingmiaofa	青苗法
qingmingjie	清明节
qingniangong	青年宫
qingnianjie	青年节
qingong	寝宫
qingpingyue	清平乐
qingqi	清漆
qingqiaoqiao	轻悄悄
qingqibing	轻骑兵
qingqing	倾情
qingqingsuan	氢氰酸
qingqiuquan	请求权
qingrenjie	情人节
qingrenyanlichuxishi	情人眼里出西施
qingshaodeng	请稍等
qingshazhang	青纱帐
qingshe	轻奢
qingshe	青蛇
qingsheng	情圣
qingsi	情丝
qingsi	情思
qingting	清廷
qingtongjing	青铜镜
qingtou	清透
qingurou	亲骨肉
qingwa	青瓦
qingwangchao	清王朝
qingwatai	青瓦台
qingweishang	轻微伤
qingwen	晴雯
qingxie	青蟹
qingxiejiao	倾斜角
qingxiji	清洗剂
qingxiju	轻喜剧
qingxin	清心
qingyu	清誉
qingyuan	清远
qingyuanshi	清远市
qingyun	清运
qingyusan	晴雨伞
qingzhang	清账
qingzhang	清障
qingzheng	轻症
qingzhi	轻质
qingzhou	轻舟
qingzhou	青轴
qingzhuan	青砖
qingzhuang	轻装
qinhailu	秦海璐
qinhang	琴行
qinhua	侵华
qinhuai	秦淮
qiniandian	祈年殿
qinianji	七年级
qinjiagong	亲家公
qinjiamu	亲家母
qinjiemei	亲姐妹
qinmu	钦慕
qinna	擒拿
qinniang	亲娘
qinpu	琴谱
qinqiegan	亲切感
qinquanren	侵权人
qinran	侵染
qinri	亲日
qinrou	禽肉
qinsheng	琴声
qinshubao	秦叔宝
qinshui	亲水
qinv	妻女
qinxiongdi	亲兄弟
qinyoutuan	亲友团
qinyuanchun	沁园春
qinzagong	勤杂工
qinzeixianqinwang	擒贼先擒王
qinzheng	亲政
qinzhou	钦州
qionghua	琼花
qiongjufa	穷举法
qiongshangou	穷山沟
qiou	奇偶
qipai	棋牌
qipaishi	棋牌室
qipeicheng	汽配城
qipi	漆皮
qiping	齐平
qiqiang	砌墙
qiqiangpai	骑墙派
qiqiao	乞巧
qiqiao	奇巧
qirui	奇瑞
qishi	奇石
qishi	棋士
qishituan	骑士团
qishiye	起始页
qishu	奇数
qishu	期数
qishui	契税
qiting	启停
qiuchangguo	酋长国
qiuche	囚车
qiuchengtong	丘成桐
qiudeluo	裘德洛
qiufen	秋分
qiufeng	球风
qiufeng	秋风
qiugen	球根
qiuji	球技
qiujier	丘吉尔
qiujin	秋瑾
qiujing	遒劲
qiuku	球裤
qiukuang	球框
qiumenqu	球门区
qiumenxian	球门线
qiumianjing	球面镜
qiupi	裘皮
qiupiao	球票
qiushaoyun	邱少云
qiusheng	求胜
qiushengyu	求生欲
qiushi	求实
qiushuigongchangtianyise	秋水共长天一色
qiushuzhen	邱淑贞
qiutan	球坛
qiutian	秋田
qiutianxian	秋田县
qiuxin	球心
qiuyeyuan	秋叶原
qiuyi	球衣
qiuyi	秋意
qiuyu	求雨
qiuzhoucheng	球轴承
qiuzhuo	球桌
qiwawa	奇瓦瓦
qiwu	起舞
qixi	七喜
qixi	七夕
qixiang	奇想
qixiang	气相
qixiangsepuyi	气相色谱仪
qixiannv	七仙女
qixide	栖息地
qixijie	七夕节
qixiuchang	汽修厂
qiya	起亚
qiyan	七言
qiyang	奇痒
qiyao	齐腰
qiyeji	企业级
qiyejie	企业界
qiyezhai	企业债
qiyou	棋友
qiyouche	汽油车
qiyu	埼玉
qiyu	旗鱼
qiyu	祈雨
qiyuandi	起源地
qiyun	起运
qizheng	齐整
qizhi	起止
qizhou	起皱
qizhu	砌筑
qizongzui	七宗罪
quanchen	权臣
quanfanshe	全反射
quangaoqing	全高清
quanguodaibiaodaihui	全国代表大会
quanguogongshanglian	全国工商联
quanguorendachangweihui	全国人大常委会
quanguowuyilaodongjiangzhang	全国五一劳动奖章
quanguoyipanqi	全国一盘棋
quanguoyundonghui	全国运动会
quanguozonggonghui	全国总工会
quanjiao	全角
quanjiaqi	全加器
quanjingtu	全景图
quanjisai	拳击赛
quanke	全科
quankuan	全款
quanlei	犬类
quanming	全名
quanmingxing	全明星
quanpian	全篇
quanqinjiang	全勤奖
quanrikong	全日空
quanrong	犬戎
quanshu	权属
quanshuanggong	全双工
quantan	拳坛
quantangshi	全唐诗
quanwairen	圈外人
quanxiang	劝降
quanxitu	全息图
quanxuan	全选
quanyecha	犬夜叉
quanyi	圈椅
quanze	权责
quanzhanyi	全站仪
quanzhenjiao	全真教
quanzhi	全脂
quanzhixian	全智贤
quanzi	全资
quchenshi	屈臣氏
quechao	雀巢
quegai	缺钙
quegenxian	缺根弦
quekao	缺考
quequan	确权
querenhan	确认函
querenma	确认码
querenxin	确认信
queyuan	缺员
qufendu	区分度
qufu	曲阜
qufushifandaxue	曲阜师范大学
quguang	屈光
